Specimen 1
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,11.5646
0.0004,22.2773
0.0006,31.145
0.0008,38.126
0.001,41.8261
0.0012,43.1166
0.0014,43.245
0.0016,42.6689
0.0018,41.1282
0.002,38.9696
0.0022,36.5717
0.0024,34.4865
0.0026,32.2574
0.0028,29.954
0.003,28.4057
0.0032,27.1506
0.0034,25.7595
0.0036,24.2619
0.0038,22.9195
0.004,21.5767
0.0042,20.2872
0.0044,19.1805
0.0046,18.2155
0.0048,17.3523
0.005,16.5642
0.0052,15.8117
0.0054,15.1105
0.0056,14.4984
0.0058,13.8862
0.006,13.1835

Specimen 2
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,11.5646
0.0004,22.2773
0.0006,31.145
0.0008,38.126
0.001,41.8261
0.0012,43.1166
0.0014,43.245
0.0016,42.6689
0.0018,41.1282
0.002,38.9696
0.0022,36.5717
0.0024,34.4865
0.0026,32.2574
0.0028,29.954
0.003,28.4057
0.0032,27.1506
0.0034,25.7595
0.0036,24.2619
0.0038,22.9195
0.004,21.5767
0.0042,20.2872
0.0044,19.1805
0.0046,18.2155
0.0048,17.3523
0.005,16.5642
0.0052,15.8117
0.0054,15.1105
0.0056,14.4984
0.0058,13.8862
0.006,13.1835

Specimen 3
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,12.9199
0.0004,23.5167
0.0006,32.1729
0.0008,39.42
0.001,42.1123
0.0012,43.2015
0.0014,43.7121
0.0016,43.3233
0.0018,42.0548
0.002,40.2425
0.0022,38.1162
0.0024,35.8707
0.0026,33.8021
0.0028,31.7369
0.003,29.8063
0.0032,28.1876
0.0034,26.8663
0.0036,25.5741
0.0038,24.4828
0.004,23.4164
0.0042,22.2975
0.0044,21.2438
0.0046,20.1586
0.0048,19.171
0.005,18.2557
0.0052,17.393
0.0054,16.5373
0.0056,15.7157
0.0058,15.0152
